state,act17_part_rate,act17_com_score,act18_part_rate,act18_com_score,act_free,act19_part_rate,act19_com_score,act19_part_pct_change,act19_score__pct_change,sat_free,sat19_part_rate,sat19_total_score,sat19_part_pct_change,sat19_score_pct_change
Minnesota,1.0,21.5,0.99,21.3,0,0.95,21.4,0.6228646517739815,-0.002331002331002034,0,0.04,1284,-0.9184652278177459,0.15355752461817612
Mississippi,1.0,18.6,1.0,18.6,1,1.0,18.4,0.7082785808147175,-0.14219114219114196,0,0.03,1237,-0.9388489208633093,0.1113322881251432
Missouri,1.0,20.4,1.0,20.0,1,0.82,20.8,0.4007884362680682,-0.030303030303029915,0,0.04,1236,-0.9184652278177459,0.11043387883805739
Montana,1.0,20.3,1.0,20.0,1,1.0,19.8,0.7082785808147175,-0.07692307692307655,0,0.09,1199,-0.8165467625899281,0.07719273521588253
Nebraska,0.84,21.4,1.0,20.1,0,1.0,20.0,0.7082785808147175,-0.06759906759906725,0,0.03,1260,-0.9388489208633093,0.13199570172811675
Nevada,1.0,17.8,1.0,17.7,1,1.0,17.9,0.7082785808147175,-0.16550116550116525,0,0.2,1156,-0.5923261390887289,0.038561135871192836
New Hampshire,0.18,25.5,0.16,25.1,0,0.14,25.0,-0.7608409986859396,0.16550116550116592,1,0.95,1059,0.9364508393285375,-0.04858456497613044
New Jersey,0.34,23.9,0.31,23.7,0,0.25,24.2,-0.5729303547963206,0.12820512820512858,0,0.82,1090,0.6714628297362113,-0.02073387707647042
New Mexico,0.66,19.7,0.67,19.4,0,0.63,19.3,0.076215505913272,-0.10023310023309988,0,0.18,1073,-0.6330935251798561,-0.03600683495692914
New York,0.31,24.2,0.27,24.5,0,0.22,24.5,-0.6241787122207622,0.1421911421911426,1,0.79,1064,0.6103117505995208,-0.044092518540701404
North Carolina,1.0,19.1,1.0,19.1,1,1.0,19.0,0.7082785808147175,-0.11421911421911389,0,0.51,1100,0.03956834532374124,-0.011749784205612353
North Dakota,0.98,20.3,0.98,20.3,0,0.96,19.9,0.6399474375821287,-0.07226107226107199,0,0.02,1263,-0.9592326139088728,0.13469092958937418
Ohio,0.75,22.0,1.0,20.3,0,1.0,20.0,0.7082785808147175,-0.06759906759906725,0,0.19,1097,-0.6127098321342925,-0.014445012066869774
Oklahoma,1.0,19.4,1.0,19.3,1,1.0,18.9,0.7082785808147175,-0.11888111888111863,0,0.22,963,-0.5515587529976019,-0.1348318565363679
Oregon,0.4,21.8,0.42,21.3,0,0.42,21.1,-0.2825229960578187,-0.016317016317015893,0,0.51,1112,0.03956834532374124,-0.0009688727605826689
Pennsylvania,0.23,23.7,0.2,23.5,0,0.17,23.6,-0.709592641261498,0.1002331002331007,0,0.7,1082,0.4268585131894486,-0.02792115137315688
Rhode Island,0.21,24.0,0.15,24.2,0,0.12,24.7,-0.7950065703022339,0.1515151515151519,1,1.0,995,1.0383693045563553,-0.10608275934962208
South Carolina,1.0,18.7,1.0,18.3,0,0.78,18.8,0.33245729303547966,-0.12354312354312319,0,0.68,1030,0.3860911270983217,-0.07463843430161884
South Dakota,0.8,21.8,0.77,21.9,0,0.75,21.6,0.2812089356110381,0.006993006993007426,0,0.03,1268,-0.9388489208633093,0.13918297602480323
Tennessee,1.0,19.8,1.0,19.6,0,1.0,19.4,0.7082785808147175,-0.0955710955710953,0,0.07,1220,-0.8573141486810552,0.09605933024468448
Texas,0.45,20.7,0.45,20.7,0,0.39,20.5,-0.33377135348226017,-0.04428904428904394,0,0.68,1022,0.3860911270983217,-0.08182570859830529
Utah,1.0,20.3,1.0,20.4,1,1.0,20.3,0.7082785808147175,-0.053613053613053234,0,0.04,1230,-0.9184652278177459,0.10504342311554254
Vermont,0.29,23.6,0.24,24.1,0,0.2,24.1,-0.6583442838370565,0.12354312354312402,0,0.66,1106,0.3453237410071946,-0.006359328483097511
Virginia,0.29,23.8,0.24,23.9,0,0.21,24.0,-0.6412614980289094,0.11888111888111928,0,0.68,1119,0.3860911270983217,0.00531999224901798
Washington,0.29,21.9,0.24,22.2,0,0.24,22.1,-0.5900131406044679,0.030303030303030744,0,0.7,1074,0.4268585131894486,-0.03510842566984333
West Virginia,0.69,20.4,0.65,20.3,0,0.49,20.8,-0.16294349540078845,-0.030303030303029915,0,0.99,943,1.0179856115107917,-0.15280004227808405
Wisconsin,1.0,20.5,1.0,20.5,1,1.0,20.3,0.7082785808147175,-0.053613053613053234,0,0.03,1283,-0.9388489208633093,0.15265911533109033
Wyoming,1.0,20.2,1.0,20.0,1,1.0,19.8,0.7082785808147175,-0.07692307692307655,0,0.03,1238,-0.9388489208633093,0.112230697412229
